id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID
3261,Oksebotn,Hydro,Reservoir,Store,Norway,11.0,,1988.0,1988.0,,60.738549,6.261966,1833.2999999999995,69.3,125.0,20166.299999999996,{nan},"{'JRC': {'JRC-N554'}, 'OPSD': {'OEU-4110'}}"
3262,Oksarelva,Hydro,Reservoir,Store,Norway,1.2,,2011.0,2011.0,,59.946481,5.961608,,0.0,320.0,0.0,{nan},"{'JRC': {'JRC-N1529'}, 'OPSD': {'OEU-4109'}}"
3263,Ogreyfoss,Hydro,Reservoir,Store,Norway,15.2,,1969.0,1969.0,,58.478973,6.030994,257.56578947368416,27.0,65.69,3914.999999999999,{nan},"{'JRC': {'JRC-N510'}, 'OPSD': {'OEU-4715'}}"
3264,Oftedal,Hydro,Reservoir,Store,Norway,8.0,,2006.0,2007.0,,58.542660999999995,6.722371,69.16875,0.93,395.0,553.35,"{nan, nan}","{'JRC': {'JRC-N1235', 'JRC-N1346'}, 'OPSD': {'OEU-4107', 'OEU-4108'}}"
3265,Offervann,Hydro,Reservoir,Store,Norway,2.2,,2015.0,2015.0,,70.360458,26.891966,424.4545454545454,32.199999999999996,10.0,933.8,{nan},"{'JRC': {'JRC-N1805'}, 'OPSD': {'OEU-4106'}}"
3266,Nyvikelva,Hydro,Reservoir,Store,Norway,2.1,,2015.0,2015.0,,64.818413,13.628673,,0.0,83.5,0.0,{nan},"{'JRC': {'JRC-N1800'}, 'OPSD': {'OEU-4100'}}"
3267,Nyset,Hydro,Reservoir,Store,Norway,5.0,,1988.0,1988.0,,61.163283,7.750692,1461.9,44.3,61.0,7309.5,{nan},"{'JRC': {'JRC-N316'}, 'OPSD': {'OEU-4098'}}"
3268,Nygard,Hydro,Pumped Storage,Store,Norway,56.0,,1932.0,2005.0,,60.892783,6.065015,1714.5571428571427,102.8,450.0,96015.2,{nan},"{'JRC': {'JRC-N827'}, 'OPSD': {'OEU-4096', 'OEU-4097'}}"
3269,Nye Verma,Hydro,Reservoir,Store,Norway,22.5,,1949.0,1949.0,,62.345564,8.046513,1500.48,32.4,424.4,33760.8,{nan},"{'JRC': {'JRC-N495'}, 'OPSD': {'OEU-4095'}}"
3270,Nye Suvdola,Hydro,Reservoir,Store,Norway,9.0,,2019.0,2019.0,,59.1495,8.815056,,0.0,347.0,0.0,{nan},"{'JRC': {'JRC-N1978'}, 'OPSD': {'OEU-4094'}}"
3271,Nydal,Hydro,Reservoir,Store,Norway,1.44,,2005.0,2005.0,,61.420546,6.109239,,0.0,190.0,0.0,{nan},"{'JRC': {'JRC-N839'}, 'OPSD': {'OEU-4092'}}"
3272,Nybuelvi,Hydro,Reservoir,Store,Norway,3.6,,2016.0,2016.0,,60.553377,9.183276,,0.0,539.9,0.0,{nan},"{'JRC': {'JRC-N1842'}, 'OPSD': {'OEU-4091'}}"
3273,Novle,Hydro,Reservoir,Store,Norway,40.0,,1967.0,1967.0,,59.831861,6.881373,2354.395,135.7,275.0,94175.8,{nan},"{'JRC': {'JRC-N312'}, 'OPSD': {'OEU-4088'}}"
3274,Norstae,Hydro,Reservoir,Store,Norway,1.5,,2006.0,2006.0,,60.037367,9.146297,,0.0,130.0,0.0,{nan},"{'JRC': {'JRC-N1244'}, 'OPSD': {'OEU-4103'}}"
3275,Grimsel Oberaarsee Grimsel,Hydro,Reservoir,Store,Switzerland,65.8,,2006.0,2007.0,,46.5753380766,8.33353407357,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H695'}, 'OPSD': {'OEU-726', 'OEU-725'}}"
3276,Quoich,Hydro,Run-Of-River,PP,United Kingdom,18.0,,1955.0,1955.0,,57.155998,-4.936,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H1456'}, 'OPSD': {'OEU-3045', 'OEU-3046'}}"
3277,Rabiusawerk,Hydro,Run-Of-River,PP,Switzerland,0.71,,2012.0,2012.0,,46.8404306281,9.54250541843,,0.0,0.0,0.0,{nan},"{'JRC': {'JRC-H2378'}, 'OPSD': {'OEU-628'}}"
